,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_cycles,cache_size,associativity,block_size,alloc_type,write_type,evictor_type
gcc.trace_256_4_16_write-allocate_write-back_lru,318197,197486,314798,3399,188250,9236,9776968,256,4,16,write-allocate,write-back,lru
gcc.trace_256_4_16_write-allocate_write-back_fifo,318197,197486,314171,4026,188047,9439,10279595,256,4,16,write-allocate,write-back,fifo
gcc.trace_256_4_16_write-allocate_write-through_lru,318197,197486,314798,3399,188250,9236,84576718,256,4,16,write-allocate,write-through,lru
gcc.trace_256_4_16_write-allocate_write-through_fifo,318197,197486,314171,4026,188047,9439,84909548,256,4,16,write-allocate,write-through,fifo
gcc.trace_256_4_16_no-write-allocate_write-back_lru,318197,197486,311613,6584,164819,32667,17773086,256,4,16,no-write-allocate,write-back,lru
gcc.trace_256_4_16_no-write-allocate_write-back_fifo,318197,197486,311017,7180,163705,33781,18574568,256,4,16,no-write-allocate,write-back,fifo
gcc.trace_256_4_16_no-write-allocate_write-through_lru,318197,197486,311613,6584,164819,32667,82150267,256,4,16,no-write-allocate,write-through,lru
gcc.trace_256_4_16_no-write-allocate_write-through_fifo,318197,197486,311017,7180,163705,33781,82389263,256,4,16,no-write-allocate,write-through,fifo
gcc.trace_1024_1_16_write-allocate_write-back_lru,318197,197486,312238,5959,187502,9984,11597528,1024,1,16,write-allocate,write-back,lru
gcc.trace_1024_1_16_write-allocate_write-back_fifo,318197,197486,312238,5959,187502,9984,11597528,1024,1,16,write-allocate,write-back,fifo
gcc.trace_1024_1_16_write-allocate_write-through_lru,318197,197486,312238,5959,187502,9984,85903226,1024,1,16,write-allocate,write-through,lru
gcc.trace_1024_1_16_write-allocate_write-through_fifo,318197,197486,312238,5959,187502,9984,85903226,1024,1,16,write-allocate,write-through,fifo
gcc.trace_1024_1_16_no-write-allocate_write-back_lru,318197,197486,309108,9089,162581,34905,19926553,1024,1,16,no-write-allocate,write-back,lru
gcc.trace_1024_1_16_no-write-allocate_write-back_fifo,318197,197486,309108,9089,162581,34905,19926553,1024,1,16,no-write-allocate,write-back,fifo
gcc.trace_1024_1_16_no-write-allocate_write-through_lru,318197,197486,309108,9089,162581,34905,83154772,1024,1,16,no-write-allocate,write-through,lru
gcc.trace_1024_1_16_no-write-allocate_write-through_fifo,318197,197486,309108,9089,162581,34905,83154772,1024,1,16,no-write-allocate,write-through,fifo
gcc.trace_128_8_16_write-allocate_write-back_lru,318197,197486,314908,3289,188278,9208,9696058,128,8,16,write-allocate,write-back,lru
gcc.trace_128_8_16_write-allocate_write-back_fifo,318197,197486,314249,3948,188090,9396,10202317,128,8,16,write-allocate,write-back,fifo
gcc.trace_128_8_16_write-allocate_write-through_lru,318197,197486,314908,3289,188278,9208,84521380,128,8,16,write-allocate,write-through,lru
gcc.trace_128_8_16_write-allocate_write-through_fifo,318197,197486,314249,3948,188090,9396,84861027,128,8,16,write-allocate,write-through,fifo
gcc.trace_128_8_16_no-write-allocate_write-back_lru,318197,197486,311693,6504,164933,32553,17684720,128,8,16,no-write-allocate,write-back,lru
gcc.trace_128_8_16_no-write-allocate_write-back_fifo,318197,197486,311124,7073,164120,33366,18348876,128,8,16,no-write-allocate,write-back,fifo
gcc.trace_128_8_16_no-write-allocate_write-through_lru,318197,197486,311693,6504,164933,32553,82118187,128,8,16,no-write-allocate,write-through,lru
gcc.trace_128_8_16_no-write-allocate_write-through_fifo,318197,197486,311124,7073,164120,33366,82346356,128,8,16,no-write-allocate,write-through,fifo
read01.trace_256_4_16_write-allocate_write-back_lru,5,0,2,3,0,0,1208,256,4,16,write-allocate,write-back,lru
read01.trace_256_4_16_write-allocate_write-back_fifo,5,0,2,3,0,0,1208,256,4,16,write-allocate,write-back,fifo
read01.trace_256_4_16_write-allocate_write-through_lru,5,0,2,3,0,0,1208,256,4,16,write-allocate,write-through,lru
read01.trace_256_4_16_write-allocate_write-through_fifo,5,0,2,3,0,0,1208,256,4,16,write-allocate,write-through,fifo
read01.trace_256_4_16_no-write-allocate_write-back_lru,5,0,2,3,0,0,1208,256,4,16,no-write-allocate,write-back,lru
read01.trace_256_4_16_no-write-allocate_write-back_fifo,5,0,2,3,0,0,1208,256,4,16,no-write-allocate,write-back,fifo
read01.trace_256_4_16_no-write-allocate_write-through_lru,5,0,2,3,0,0,1208,256,4,16,no-write-allocate,write-through,lru
read01.trace_256_4_16_no-write-allocate_write-through_fifo,5,0,2,3,0,0,1208,256,4,16,no-write-allocate,write-through,fifo
read01.trace_1024_1_16_write-allocate_write-back_lru,5,0,2,3,0,0,1208,1024,1,16,write-allocate,write-back,lru
read01.trace_1024_1_16_write-allocate_write-back_fifo,5,0,2,3,0,0,1208,1024,1,16,write-allocate,write-back,fifo
read01.trace_1024_1_16_write-allocate_write-through_lru,5,0,2,3,0,0,1208,1024,1,16,write-allocate,write-through,lru
read01.trace_1024_1_16_write-allocate_write-through_fifo,5,0,2,3,0,0,1208,1024,1,16,write-allocate,write-through,fifo
read01.trace_1024_1_16_no-write-allocate_write-back_lru,5,0,2,3,0,0,1208,1024,1,16,no-write-allocate,write-back,lru
read01.trace_1024_1_16_no-write-allocate_write-back_fifo,5,0,2,3,0,0,1208,1024,1,16,no-write-allocate,write-back,fifo
